Galaxy,Distance(Mac),Galactocentric radius(kpc),Vobs(km/s),Uncertainty in Vobs(km/s),Vgas(km/s),Vdisk(km/s),Vbul(km/s),Disk surface brightness(sollum/pc^2),Bulge surface brightness(sollum/pc^2)
NGC2403,3.16,0.16,24.50,2.83,0.00,23.21,0.00,1105.79,0.00
NGC2403,3.16,0.26,35.30,2.46,0.00,35.33,0.00,1006.36,0.00
NGC2403,3.16,0.36,43.20,1.12,1.92,46.97,0.00,938.26,0.00
NGC2403,3.16,0.46,52.00,1.25,2.29,56.68,0.00,789.78,0.00
NGC2403,3.16,0.56,60.90,2.93,2.64,63.77,0.00,624.65,0.00
NGC2403,3.16,0.66,65.80,1.25,3.00,67.56,0.00,511.64,0.00
NGC2403,3.16,0.76,71.70,1.25,3.34,70.83,0.00,469.31,0.00
NGC2403,3.16,0.86,74.60,1.60,3.68,72.80,0.00,402.53,0.00
NGC2403,3.16,0.96,74.60,1.03,4.02,74.87,0.00,381.19,0.00
NGC2403,3.16,1.06,76.60,1.12,4.37,77.12,0.00,359.63,0.00
NGC2403,3.16,1.16,78.50,1.60,4.75,79.47,0.00,345.41,0.00
NGC2403,3.16,1.27,83.40,1.80,5.15,82.18,0.00,332.26,0.00
NGC2403,3.16,1.36,86.40,1.60,5.51,85.19,0.00,317.57,0.00
NGC2403,3.16,1.47,87.40,1.41,5.76,87.94,0.00,297.25,0.00
NGC2403,3.16,1.57,90.30,1.41,5.98,90.77,0.00,286.72,0.00
NGC2403,3.16,1.67,93.30,1.60,6.21,93.98,0.00,271.01,0.00
NGC2403,3.16,1.77,93.30,1.41,6.42,96.86,0.00,252.38,0.00
NGC2403,3.16,1.87,95.20,1.25,6.61,99.21,0.00,231.06,0.00
NGC2403,3.16,1.97,97.20,1.60,6.81,101.42,0.00,214.50,0.00
NGC2403,3.16,2.08,99.10,2.02,7.01,103.79,0.00,203.15,0.00
NGC2403,3.16,2.18,98.20,2.02,7.27,106.07,0.00,177.77,0.00
NGC2403,3.16,2.28,98.20,1.60,7.54,106.73,0.00,143.26,0.00
NGC2403,3.16,2.37,98.20,1.00,7.81,106.19,0.00,125.45,0.00
NGC2403,3.16,2.47,97.20,1.12,8.25,105.57,0.00,115.50,0.00
NGC2403,3.16,2.57,98.20,1.41,8.77,105.08,0.00,108.64,0.00
NGC2403,3.16,2.68,98.20,1.12,9.31,104.39,0.00,99.02,0.00
NGC2403,3.16,2.78,98.20,1.60,9.95,103.80,0.00,91.66,0.00
NGC2403,3.16,2.88,99.10,2.69,10.97,103.16,0.00,86.76,0.00
NGC2403,3.16,2.98,100.00,2.69,11.96,102.68,0.00,83.79,0.00
NGC2403,3.16,3.08,102.00,3.16,13.06,102.46,0.00,81.80,0.00
